"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0T820","2019-07-16 00:00:00","550.000","0.000","0.000","23.400","0.900","950.600","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","20.200",""
"C0F9I0","2019-07-16 00:00:00","194.000","328.000","1.500","27.700","0.870","985.000","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","26.900",""
"C0C650","2019-07-16 00:00:00","208.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R600","2019-07-16 00:00:00","766.000","14.000","1.500","24.300","0.960","923.200","-99.000","1.000","-99.000","-99.000","-99.000","28.300","","22.900",""
"C0Z320","2019-07-16 00:00:00","646.000","246.000","0.600","21.700","0.940","937.200","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","20.000",""
"C0V210","2019-07-16 00:00:00","734.000","0.000","0.200","23.800","0.920","928.100","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","19.100",""
"C0K240","2019-07-16 00:00:00","1132.000","299.000","0.400","21.700","0.990","888.600","-99.000","0.000","-99.000","-99.000","-99.000","28.300","","19.600",""
"C0M520","2019-07-16 00:00:00","15.000","0.000","0.000","28.500","0.870","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","26.600",""
"C0A530","2019-07-16 00:00:00","300.000","15.000","0.300","23.800","0.990","973.600","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","22.900",""
"C0E820","2019-07-16 00:00:00","220.000","184.000","0.400","25.700","0.900","982.800","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","23.900",""
"C0K450","2019-07-16 00:00:00","35.000","0.000","0.000","29.300","0.850","1002.000","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","27.100",""
"C0G760","2019-07-16 00:00:00","53.000","41.000","0.400","28.800","0.990","1002.800","-99.000","0.000","-99.000","-99.000","-99.000","34.800","","26.600",""
"CM0120","2019-07-16 00:00:00","4.000","265.000","1.900","29.600","0.760","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","27.600",""
"C0Z290","2019-07-16 00:00:00","946.000","0.000","0.100","21.000","0.940","905.600","-99.000","0.000","-99.000","-99.000","-99.000","28.700","","20.700",""
"C0F9U0","2019-07-16 00:00:00","74.000","221.000","1.300","29.900","0.720","998.100","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","28.600",""
"C0AI10","2019-07-16 00:00:00","76.000","206.000","0.700","26.500","0.870","998.100","-99.000","0.000","-99.000","-99.000","-99.000","35.500","","24.900",""
"C0V530","2019-07-16 00:00:00","34.000","53.000","0.500","28.800","1.000","1002.000","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","27.000",""
"C0R550","2019-07-16 00:00:00","38.000","72.000","1.400","27.500","0.940","1002.500","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","25.700",""
"C0F9L0","2019-07-16 00:00:00","253.000","46.000","0.500","28.000","0.900","978.300","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","27.000",""
"C0A950","2019-07-16 00:00:00","60.000","145.000","1.400","27.800","0.880","1000.500","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","27.300",""
"C0R160","2019-07-16 00:00:00","45.000","36.000","1.000","27.900","0.990","1000.500","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","26.100",""
"C0F9S0","2019-07-16 00:00:00","43.000","274.000","1.400","29.700","0.770","1001.800","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","27.800",""
"C0M820","2019-07-16 00:00:00","980.000","265.000","0.300","23.100","0.920","902.200","-99.000","0.000","-99.000","-99.000","-99.000","27.500","","19.000",""
"C0G870","2019-07-16 00:00:00","12.000","0.000","0.100","27.900","0.990","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","26.500",""
"C0R530","2019-07-16 00:00:00","16.000","58.000","1.700","28.500","0.950","1004.000","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","27.000",""
"C0O840","2019-07-16 00:00:00","134.000","85.000","0.900","27.200","1.000","990.400","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","25.600",""
